Lavras da Mangabeira,23150955,JOAQUIM LEITE TEIXEIRA EEIF
Lavras da Mangabeira,23150858,JOSE TOMAZ DE SOUSA EEIF
Lavras da Mangabeira,23150718,MANOEL G DA SILVA EEIF
Lavras da Mangabeira,23150734,MANOEL PINHEIRO DE SOUSA EEIF
Lavras da Mangabeira,23150890,MARIA PESSOA DE MOURA EEIF
Lavras da Mangabeira,23221046,PAULO VI ESCOLA DE ENS INF FUND
Lavras da Mangabeira,23151161,RDO ANTONIO DE SAMPAIO EEIF
Lavras da Mangabeira,23150726,RDO B DE SOUZA EEIF
Lavras da Mangabeira,23239581,RDO JOSE DA FONSECA EEIF
Lavras da Mangabeira,23150645,ROMANA RICARTE BEZERRA EEIF
Lavras da Mangabeira,23151056,SAO FRANCISCO EEIF
Lavras da Mangabeira,23178205,STELA SAMPAIO EEIF
Lavras da Mangabeira,23150521,VIRGILIO DE AGUIAR GURGEL EEIF
Umari,23151285,ANTO FERREIRA VIANA EEF
Umari,23151277,ANTONIO CESAR DE MENESES EEF
Umari,23151307,BERNARDO FERREIRA ALENCAR EEF
Umari,23151315,DIULINO FERREIRA DA COSTA EEF
Umari,23151455,JOSE GUSTAVO PINHEIRO TORRES EEF
Umari,23151536,MANUEL PEREIRA EEF PADRE
Umari,23151552,RAIMUNDA ALVES DE BARROS EEF
Varzea Alegre,23148160,ANTAO LEANDRO BITU EEF
Varzea Alegre,23148144,ANTONIA BATISTA DE MORAIS EEF
Varzea Alegre,23149159,ANTONIO BENTO CALIXTO EEF
Varzea Alegre,23239980,DARIO BATISTA MORENO ESCOLA DE ENSINO FUNDAMENTAL DR
Varzea Alegre,23148330,FIGUEIREDO CORREIA EEF
Varzea Alegre,23564210,FRANCISCO ASSIS VICENTE EEIF
Varzea Alegre,23148438,IRACY BEZERRA DE MORAIS ESC DE ENS FUND
Varzea Alegre,23148446,ISABEL MARIA DA CONCEICAO EEF
Varzea Alegre,23148985,JOAO BATISTA DE OLIVEIRA EEF
Varzea Alegre,23148454,JOAO GONCALVES BEZERRA EEIF
Varzea Alegre,23149116,JOAQUIM ALVES DE OLIVEIRA EEF
Varzea Alegre,23148470,JOAQUIM ANTONIO DE ARAUJO EEF
Varzea Alegre,23148942,JOSE ALVES DE MENEZES EEF
Varzea Alegre,23148870,JOSE PRIMO DE MORAIS VEREADOR EEF- ZE BILE
Varzea Alegre,23180439,JOSE SERGIO DA COSTA EEF
Varzea Alegre,23148950,MANOEL SALVADOR EEF
Varzea Alegre,23148551,MARIA ALVES BEZERRA EEF
Varzea Alegre,23148560,MARIA AMELIA GONCALVES COSTA EEF
Varzea Alegre,23461900,MARIA ANESIA FERREIRA LIMA EEIEF PROFESSORA
Varzea Alegre,23149221,MARIA BITU COSTA EEF
Varzea Alegre,23148993,MARIA DOLORES MENEZES DE CARVALHO CERU PROFESSORA
Varzea Alegre,23149094,MARIA SIEBRA DE MORAIS EEF
Varzea Alegre,23148608,NOVA ALIANCA EEF
Varzea Alegre,23148616,ORMECINDA SIEBRA LEITE EEF
Varzea Alegre,23149027,PEDRO EEF SAO
Varzea Alegre,23148772,PEDRO LEANDRO DA SILVA EEF
Varzea Alegre,23148217,PEDRO SATIRO EEIFM DR
Varzea Alegre,23149167,RAIMUNDO MENDES DE FREITAS EEIF
Varzea Alegre,23180412,RAIMUNDO PEDRO DO NASCIMENTO EEF
Varzea Alegre,23148900,SOCORRO ESCOLA DE ENSINO FUNDAMENTAL DO
Varzea Alegre,23148730,TEODORA GOMES FIUZA E E I F
Varzea Alegre,23148799,ZULMIRA SIEBRA LEITE EEIEF
